Deliverable type,Priority,Production Pipeline,Project Type,Task Count
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,4,0,0,1
0,4,0,0,1
0,3,0,0,1
0,4,6,2,4
0,3,0,0,11
0,4,0,0,18
0,4,0,0,18
0,4,0,0,12
0,3,9,0,4
0,3,0,0,28
0,4,0,0,15
0,4,0,0,28
0,2,28,0,7
0,1,5,0,13
0,1,5,0,11
0,1,5,0,10
0,1,5,0,10
0,2,16,0,25
0,1,5,0,11
0,3,0,0,6
0,3,14,0,8
0,3,0,0,26
0,2,0,0,5
0,3,11,2,22
0,5,0,0,1
0,3,0,0,1
0,1,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,4
0,2,29,2,4
0,3,11,0,1
0,4,0,0,11
0,3,0,0,1
0,3,0,0,8
0,2,11,2,27
0,3,26,2,24
0,3,0,0,6
0,2,0,0,5
0,3,0,0,1
0,2,0,0,13
0,3,21,0,27
0,3,8,2,39
0,4,29,0,277
0,1,14,2,10
0,2,0,0,16
0,3,13,0,4
0,3,17,2,4
0,1,0,0,1
0,4,0,0,1
0,3,29,0,110
0,3,0,0,23
0,1,0,0,1
0,3,0,0,1
0,4,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,5,0,0,27
0,5,17,2,3
0,2,0,0,1
0,3,17,2,7
0,3,29,0,69
0,4,9,0,1
0,3,17,2,4
0,5,5,0,23
0,2,17,0,26
0,5,0,0,4
0,4,0,0,3
0,4,30,0,15
0,3,0,0,15
0,4,13,0,9
0,2,13,0,10
0,5,0,0,1
0,3,0,0,53
0,3,0,0,1
0,1,17,0,17
0,1,17,0,6
0,3,22,2,15
0,2,28,0,1
0,3,0,0,1
1702,4,25,4,80
0,3,0,0,1
0,5,0,0,1
0,2,6,0,85
0,4,0,0,1
0,1,18,0,1
0,4,17,2,20
0,3,11,2,29
0,3,0,0,8
0,4,0,0,1
1205,2,14,4,13
0,2,0,0,19
0,3,30,0,4
0,3,11,2,31
0,2,6,0,4
0,2,16,0,1
0,3,11,2,11
0,3,0,0,4
0,3,0,0,14
0,4,0,0,1
0,3,0,0,4
0,3,26,2,58
0,2,0,0,4
0,1,15,0,8
0,5,0,0,1
0,3,0,0,1
0,3,0,0,6
0,2,0,0,4
0,3,0,0,11
0,3,13,2,16
0,3,0,0,4
0,3,0,0,1
0,2,14,0,10
0,3,0,0,1
0,1,11,0,59
0,2,0,0,1
0,3,0,0,6
0,3,26,0,4
0,3,0,0,4
0,5,0,0,1
0,1,14,0,9
0,5,0,0,2
0,2,6,0,1
0,2,25,0,27
0,2,0,0,1
0,3,0,0,1
0,1,15,0,9
0,4,0,0,1
0,2,0,0,15
0,5,11,0,7
0,3,28,0,18
0,4,30,0,1
0,3,29,2,7
0,3,29,2,24
0,3,0,0,1
0,3,0,0,31
0,1,29,0,62
0,2,0,0,1
0,3,11,0,3
0,5,17,0,31
0,3,11,2,12
0,4,17,0,7
0,4,9,0,6
0,4,9,0,1
0,3,0,0,54
0,2,0,0,40
0,3,0,0,1
0,2,0,0,1
0,3,0,0,4
0,1,15,2,20
0,1,15,0,31
0,4,28,0,10
0,3,0,0,1
0,4,0,0,1
0,1,15,0,12
0,1,15,0,11
0,4,0,0,1
0,3,11,0,46
0,4,0,0,1
1103,3,11,4,25
0,5,28,0,48
0,5,28,0,72
0,5,9,0,85
0,5,9,0,67
0,5,24,0,14
0,5,17,0,70
0,5,17,0,67
0,2,0,0,1
0,1,15,0,21
0,1,15,2,25
0,1,15,0,143
0,1,15,2,26
0,1,15,0,5
0,1,15,0,19
0,5,0,0,4
0,5,0,0,1
0,1,15,0,8
0,1,15,0,45
0,1,15,0,14
0,3,22,0,13
0,3,0,0,1
0,3,26,0,5
0,2,0,0,1
0,2,0,0,1
0,3,0,0,7
0,5,0,0,2
0,5,0,0,1
0,1,29,0,64
0,3,11,2,14
0,5,0,0,4
0,3,0,0,1
0,2,17,0,1
0,2,24,0,1
0,5,0,0,1
0,5,0,0,1
0,1,0,0,4
0,2,0,0,1
0,2,17,0,4
0,5,12,0,28
0,3,0,0,1
0,2,0,0,12
0,5,17,0,28
0,5,17,0,28
0,5,24,0,7
0,5,28,0,33
0,2,0,0,1
0,2,0,0,1
0,1,0,0,1
0,2,0,0,14
0,2,24,0,7
0,2,24,0,10
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,4,22,0,33
0,3,11,2,13
0,2,0,0,1
0,2,0,0,31
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,6
0,5,0,0,52
0,5,0,0,6
0,4,29,2,13
0,2,29,0,1
0,2,0,0,4
0,5,0,0,1
0,3,0,0,1
0,4,9,0,8
0,3,0,0,56
0,4,14,2,8
0,2,14,0,4
0,3,26,0,14
0,2,14,0,4
1012,1,0,1,20
0,2,14,0,14
0,2,14,0,15
0,2,14,0,29
0,2,0,0,4
0,2,24,0,39
0,3,0,0,4
0,4,27,0,7
1205,2,11,2,85
0,2,14,2,4
0,5,11,0,18
0,3,26,0,15
1001,4,17,0,1
0,3,0,0,46
0,5,0,0,4
0,3,29,2,5
0,3,0,0,4
0,3,0,0,1
0,5,0,0,4
0,4,0,0,1
0,4,0,0,1
0,2,0,0,11
0,3,0,0,51
0,1,14,2,180
0,2,0,0,1
0,1,0,0,7
0,2,24,0,53
0,3,24,0,10
0,3,22,0,4
0,3,0,0,4
0,2,28,0,26
0,5,6,0,7
0,3,0,0,1
0,3,0,0,1
0,3,0,0,3
0,3,0,0,1
0,5,6,0,66
0,5,11,0,4
0,5,13,2,11
0,3,0,0,4
0,3,11,0,5
0,1,17,2,27
0,2,0,0,1
0,2,11,0,1
0,2,19,0,7
0,3,0,0,1
0,5,11,0,51
0,2,0,0,2
0,2,0,0,1
0,3,17,0,1
0,2,0,0,1
0,2,0,0,1
0,3,16,0,1
0,3,9,0,4
0,4,0,0,4
0,5,29,0,79
0,3,0,0,4
0,2,17,0,14
0,3,13,0,5
0,5,0,0,31
0,2,0,0,14
0,3,24,0,26
0,2,5,0,9
0,2,5,0,12
0,3,23,0,6
0,3,13,0,7
0,2,29,2,2
0,5,0,0,15
0,2,0,0,1
0,3,17,0,24
0,4,6,2,37
0,3,9,2,59
0,2,0,0,3
0,5,0,0,1
0,2,0,0,3
0,2,17,0,52
0,3,0,0,4
1006,3,17,0,4
1006,3,17,0,5
1006,3,18,0,5
0,3,29,0,7
0,3,11,0,5
0,3,17,0,33
1006,3,17,0,4
0,3,11,0,7
0,3,29,0,8
0,3,17,0,8
0,3,29,0,5
0,3,18,0,6
0,3,0,0,1
0,2,6,0,1
0,5,6,0,20
0,3,9,0,55
0,2,11,0,5
0,3,11,2,18
0,3,11,0,4
0,3,0,0,1
0,2,17,2,32
0,3,0,0,6
0,1,29,0,2
0,2,0,0,76
0,3,17,0,17
0,4,12,0,4
0,4,9,0,1
0,3,17,2,8
0,1,14,2,8
0,1,30,2,8
0,1,11,2,60
0,2,0,0,10
0,3,11,0,18
0,3,29,0,23
0,3,0,0,2
0,3,17,0,6
0,1,12,2,20
0,3,0,0,4
0,2,14,2,18
0,2,14,0,4
0,3,17,0,13
0,3,17,0,7
0,3,0,0,1
1205,5,0,1,1
0,2,14,0,7
0,2,11,0,1
0,3,29,0,8
0,3,29,0,4
0,3,13,2,62
0,2,16,2,37
0,3,11,0,12
0,2,27,0,54
0,3,0,0,4
0,2,11,2,13
0,2,17,2,25
0,2,14,0,192
0,2,11,0,1
0,2,28,2,17
1710,2,18,2,48
0,2,28,2,107
0,2,28,2,11
0,2,27,2,12
0,2,28,0,18
0,2,28,2,11
0,2,28,2,26
0,2,30,0,13
0,2,17,2,4
0,2,18,2,4
0,1,0,0,4
1205,2,29,4,10
1205,2,29,4,16
1205,2,29,4,9
1205,2,29,4,9
0,3,11,2,20
0,2,17,0,32
0,3,6,2,50
0,2,5,0,19
